sq_candidato,link,tse_uf,tse_nome_urna,tse_n_urna,tse_cargo,tse_partido,resultado,numero_votos
70001713405,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001713405,DF,MARI VALENTIM,2324,DEPUTADO FEDERAL,CIDADANIA,NÃO ELEITO,1058
70001636642,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001636642,DF,PAULA BENETT,4000,DEPUTADO FEDERAL,PSB,NÃO ELEITO,1464
70001595677,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001595677,DF,RUTH VENCEREMOS,1361,DEPUTADO FEDERAL,PT,SUPLENTE,31538
70001601756,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601756,DF,TALITA VICTOR,50044,DEPUTADO DISTRITAL,PSOL,SUPLENTE,4865
70001643996,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001643996,DF,ALEXANDRE LIRA,77777,DEPUTADO DISTRITAL,SOLIDARIEDADE,NÃO ELEITO,170
70001636645,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001636645,DF,PROFESSOR ISRAEL,4077,DEPUTADO FEDERAL,PSB,NÃO ELEITO,40885
70001596093,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001596093,DF,PROF LÊDA COLETIVE CHÃO,13000,DEPUTADO DISTRITAL,PT,SUPLENTE,4894
70001601767,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601767,DF,MANDATA FEMINISTA BEM VIVER BE,50999,DEPUTADO DISTRITAL,PSOL,SUPLENTE,3143
80001621158,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001621158,ES,BARBARAH BRASIL,40106,DEPUTADO ESTADUAL,PSB,SUPLENTE,299
80001611838,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001611838,ES,ANE HALAMA,5001,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,2017
80001719420,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001719420,ES,IVO COLETIVA RAÇA E CLASSE,1333,DEPUTADO FEDERAL,PT,SUPLENTE,5756
80001620972,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001620972,ES,MULHERES DE TODAS AS LUTAS,4001,DEPUTADO FEDERAL,PSB,SUPLENTE,2350
80001610768,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001610768,ES,RAFAELLA MACHADO,500,SENADOR (1O SUPLENTE),PSOL,NÃO ELEITO,20138
