"OBS: Candidaturas LGBT+ ao Legislativo, que disputaram as eleições de 2022, cadastradas na plataforma VoteLGBT. TOTAL = 319",,,,,,,
Link,TSE_UF,TSE NOME DE URNA,TSE N° URNA,TSE CARGO,TSE PARTIDO,RESULTADO,NÚMERO DE VOTOS
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001643996,DF,ALEXANDRE LIRA ,77777,Deputado Distrital,SOLIDARIEDADE,Não eleito,170
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001636645,DF,PROFESSOR ISRAEL ,4077,Deputado Federal,PSB,Não eleito,40.885
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001596093,DF, PROF LÊDA COLETIVE CHÃO ,13000,Deputado Distrital,PT,Suplente,4.894
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601767,DF,MANDATA FEMINISTA BEM VIVER BE,50999,Deputado Distrital,PSOL,Suplente,3.143
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001621158,ES, BARBARAH BRASIL ,40106,Deputado Estadual,PSB,Suplente,299
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001611838,ES, ANE HALAMA ,5001,Deputado Federal,PSOL,Não eleito,2.017
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001719420,ES,IVO COLETIVA RAÇA E CLASSE,1333,Deputado Federal,PT,Suplente,5.756
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001620972,ES,MULHERES DE TODAS AS LUTAS,4001,Deputado Federal,PSB,Suplente,2.350
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001610768,ES,RAFAELLA MACHADO ,500,Senador (1º suplente),PSOL,Não eleito,20.138
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001611188,ES, SANDRINHA OLIVEIRA JUNTAS ,50013,Deputado Estadual,PSOL,Suplente,451
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001611205,ES,MONICA ALVES,50010,Deputado Estadual,PSOL,Suplente,581
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001720047,ES,WALDIR PIRES,12096,Deputado Estadual,PDT,Suplente,303
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001648108,GO, ARIEL LUZ ,1330,Deputado Federal,PT,Suplente,2.021
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001675421,GO, ARTHUR RAMOS ,2121,Deputado Federal,PCB,Não eleito,959
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001675308,GO, BARBARA BOMBOM ,50024,Deputado Estadual,PSOL,Não eleito,1.150
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001649529,GO, FABRÍCIO ROSA ,13200,Deputado Estadual,PT,Suplente,20.432
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001614061,GO, ILLANA MATTOS ,2034,Deputado Federal,PSC,Suplente,363
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001648118,GO, ISABEL CRISTINE ,1307,Deputado Federal,PT,Suplente,898
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001647438,GO, JÚNIOR PINHEIRO ,45745,Deputado Estadual,PSDB,Suplente,273
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001621635,GO, MATHEUS RIBEIRO ,4555,Deputado Federal,PSDB,Suplente,46.961
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001675162,GO,MARCO AURELIO,5024,Deputado Federal,PSOL,Não eleito,265
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001647407,GO, MARCELO GOMES ,45700,Deputado Estadual,PSDB,Suplente,136
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001732912,GO,WANESSA BELTRÃO,13444,Deputado Estadual,PT,Suplente,374
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001613727,MA, PAULO ROMÃO ,13613,Deputado Estadual,PT,Suplente,749
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001601133,MA, RAISSA MENDONÇA ,1277,Deputado Federal,PDT,Suplente,2.047
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001713953,MA, CADU MARQUES ,50513,Deputado Estadual,PSOL,Não eleito,1.417
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001613737,MA ,CHICO COLETIVO GUARNICÊ,13400,Deputado Estadual,PT,Suplente,14.296
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001607066,MA,PROF ADROALDO COLETIVO VAMOS,40100,Deputado Estadual,PSB,Suplente,2.046
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615236,MG, ALAN RODRIGUES ,50777,Deputado Estadual,PSOL,Suplente,1.068
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607245,MG, CRISTINA DEL PAPA ,1317,Deputado Federal,PT,Suplente,4.763
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607369,MG, DANDARA ,13777,Deputado Estadual,PT,Suplente,18.624
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607401,MG, DANIEL CABRAL ,65000,Deputado Estadual,PC do B,Suplente,8.100
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615068,MG, DUDA DAS CADEIRAS ,21210,Deputado Estadual,PCB,Não eleito,2.746
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607432,MG, EDINALDO SOARES ,13111,Deputado Estadual,PT,Suplente,3.616
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615175,MG, GIZA ALEXANDRE ,5046,Deputado Federal,PSOL,Suplente,1.066
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001606754,MG, GREGORY RODRIGUES ,12457,Deputado Estadual,PDT,Suplente,610
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615280,MG, BELLA GONÇALVES ,50500,Deputado Estadual,PSOL,Eleito por QP,43.768
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001678198,MG, ISAÍAS MARTINS ,15678,Deputado Estadual,MDB,Suplente,4.982
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615181,MG, IZA LOURENÇA ,5000,Deputado Federal,PSOL,Suplente,51.304
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615233,MG, LAUANA JUHLIA TAINA ,50111,Deputado Estadual,PSOL,Suplente,12.442
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615271,MG, KÊNIA RIBEIRO ,50444,Deputado Estadual,PSOL,Suplente,558
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607374,MG, KÉSLEY A ATREVIDA ,13038,Deputado Estadual,PT,Suplente,1.521
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615079,MG, LÍVIA FLOR ,2135,Deputado Federal,PCB,Não eleito,856
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607278,MG, CIÇA ,1322,Deputado Federal,PT,Suplente,5.902
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001612987,MG, NEILA SCHINEIDER ,7741,Deputado Federal,SOLIDARIEDADE,Suplente,254
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615080,MG, ESPAGUETE ,2117,Deputado Federal,PCB,Não eleito,1.957
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615093,MG, SARA AZEVEDO ,500,Senador,PSOL,Não eleito,113.304
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001613138,MG, VINÍCIUS VINISIM ,40444,Deputado Estadual,PSB,Suplente,1.002
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615238,MG, COLETIVAS VOZES GERAIS/WALLACE ,50034,Deputado Estadual,PSOL,Suplente,1.710
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001606697,MG, DUDA SALABERT ,1212,Deputado Federal,PDT,Eleito por QP,208.332
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001613347,MG, JULIANA SALES ,2300,Deputado Federal,CIDADANIA,Suplente,5.487
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607255,MG,GUSTAVO MENDES,1340,Deputado Federal,PT,Suplente,18.634
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615215,MG,MARIA DA CONSOLAÇÃO,50888,Deputado Estadual,PSOL,Suplente,7.793
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001606736,MG,EDIMAR FERREIRA,12888,Deputado Estadual,PDT,Suplente,519
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001613022,MG,FLÁVIA GONTIJO,77122,Deputado Estadual,SOLIDARIEDADE,Suplente,1.125
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607389,MG,RODRIGO LEITE,13555,Deputado Estadual,PT,Suplente,7.866
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607373,MG,GISELE DA SAÚDE,13192,Deputado Estadual,PT,Suplente,1.316
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615069,MG,BRUNO MAROTA,21212,Deputado Estadual,PCB,Não eleito,1.979
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607270,MG,DANDARA,1334,Deputado Federal,PT,Eleito por QP,86.034
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001598297,MS, FRANKLIN ,5050,Deputado Federal,PSOL,Não eleito,4.045
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001652326,MS, GLAUBER PORTMAN ,65024,Deputado Estadual,PC do B,Suplente,602
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001606660,MS, JEAN FERREIRA ,12067,Deputado Estadual,PDT,Suplente,3.643
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001613607,MS, KARLA MELO COLETIVO SOMOS ,45345,Deputado Estadual,PSDB,Suplente,628
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001606667,MS, BRUNA RIQUELME COLETIVO ,12222,Deputado Estadual,PDT,Suplente,366
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001606665,MS, LUARA DO AXÉ ,12180,Deputado Estadual,PDT,Suplente,273
